Colegiado;Componente
105922;76608
105922;3245
103570;244
103570;100931
120961;1929
120961;316
96518;38337
96518;1812
37258;438
37258;37238
37258;37239
37258;37236
37259;438
37259;37238
37259;1977
120961;2981
120961;304
120961;86144
121080;2837
103570;105756
103570;105159
103570;450
36475;446
36475;36474
36475;1977
98518;91842
103570;105156
103570;105157
103570;105158
75693;1927
75693;1929
75693;1988
75693;2981
75693;3162
75693;19856
30668;452
75883;74931
83276;2981
75883;8836
30668;37303
121080;316
75883;8837
68554;72084
68554;1945
30668;37300
37304;452
83276;1945
37304;1977
79639;1812
79639;25
79656;2
19235;73212
19235;42673
121080;263
121080;41066
121080;1929
121080;2981
25430;449
25430;25433
3498;72084
36332;450
36332;36317
103571;100931
36332;36314
36331;450
36331;36317
36331;1977
2259;3162
76762;52588
10146;3517
121080;27
58490;316
58490;1926
74383;316
84208;75229
36680;440
36680;32134
36680;1977
32108;440
32108;32134
32108;36660
32108;32137
36278;436
36278;36080
36278;1977
36279;436
36279;36080
36279;32237
36279;36078
116715;1801
75168;263
94448;47309
4246;3159
121335;2981
72739;71921
72739;2759
72739;1782
72822;91
72821;1929
72821;2981
72821;91
70181;429
72823;91
75620;426
57612;166
1023;37808
75815;304
71529;2836
20215;43945
20215;3517
77073;185
1658;250
76175;2981
77073;94
77073;48
76391;3243
76391;72567
76391;36995
73242;244
73242;304
73242;36670
68642;54843
38650;9
38650;8
488;48
2766;14
76609;2981
74902;2981
74902;42816
77073;75113
94448;47312
76175;263
76175;89539
77073;36
1409;48
4246;1929
76785;41296
38163;304
38163;14
38163;1988
116715;3319
7221;185
76785;53765
2766;1988
76785;25210
75883;3213
76738;41271
29217;14
68554;42672
68554;1801
76755;41325
76755;51448
84208;75234
39758;14
39758;1927
39758;367
76755;31951
76756;41349
76756;54198
84208;2058
76756;34320
76757;51971
76758;41368
76758;53201
84207;2043
76758;53185
76759;41326
76759;54631
84207;2044
76759;41398
76760;41327
35463;34703
20373;1929
20373;263
20373;14
20373;2981
116715;316
116715;1950
76760;53712
84207;3234
76760;34297
76772;25025
76773;41330
40335;333
40335;244
40335;248
76773;52109
84207;47229
76773;32156
76775;41355
76775;54320
84207;8882
76775;34323
76787;41274
76787;50171
84207;2055
76787;41386
76776;41357
76776;55665
84207;75229
76776;23922
77006;2844
954;77
72823;1929
72823;1696
76778;54493
84207;2058
76778;20676
4402;2981
76779;41283
76779;45776
84207;75234
76779;21655
84305;36670
40600;6573
84206;2043
40600;2837
40600;1929
40600;2981
84305;42673
90737;3200
76792;55190
90737;81768
76780;41278
76780;50821
84206;2044
76780;41390
76781;41366
76781;54557
40875;25281
10036;244
3406;1812
76781;26297
76782;49341
41039;1799
2761;1930
89630;2035
89630;3214
89630;81088
89630;15
3783;250
84206;3234
76782;49214
76782;46396
76783;61981
76783;62002
84206;47229
76783;61985
76784;41311
84206;8882
76784;20642
76786;41297
76786;45645
2761;14
2761;2
2259;2844
2259;1929
2259;91
2259;11496
